status,duration,credit_history,purpose,amount,savings,employment_duration,property,age,other_installment_plans,credit_risk
2,18,2,3,1301,1,5,1,32,3,1
1,12,2,2,2578,1,1,4,55,3,1
1,24,2,3,3660,1,3,3,28,3,1
1,12,4,1,1409,1,5,1,54,3,1
4,9,2,2,1313,1,5,3,20,3,1
2,24,2,1,11560,1,3,3,23,3,0
1,18,2,2,3650,1,2,3,22,3,1
4,24,2,3,5943,5,2,3,44,3,0
2,6,2,5,454,1,2,2,22,3,1
4,12,2,2,1123,3,3,3,29,3,0
4,12,2,3,886,5,3,3,21,3,1
2,36,2,3,4795,1,2,4,30,3,1
4,22,2,3,2675,3,5,3,40,3,1
1,8,4,0,3398,1,4,1,39,3,1
4,12,4,5,996,5,4,1,23,3,1
1,12,1,0,697,1,2,3,46,1,0
1,24,2,1,2964,5,5,4,49,1,1
4,10,2,6,727,3,5,4,46,3,1
1,18,2,0,1216,1,2,3,23,3,0
1,24,4,3,1231,4,5,2,57,3,1
2,15,2,3,802,1,5,3,37,3,0
2,18,2,0,6260,1,4,1,28,3,1
2,18,2,2,3001,1,4,1,40,3,1
2,15,2,5,2631,2,3,1,25,3,1
4,18,2,3,1453,1,2,1,26,3,1
2,36,4,3,2337,1,5,1,36,3,1
3,12,4,0,939,3,4,1,28,3,0
4,14,3,0,802,1,3,3,27,3,1
4,12,4,2,1258,1,2,2,22,3,1
1,6,4,3,1169,5,5,1,67,3,1
4,18,2,3,433,1,1,1,22,3,0
4,24,3,2,4151,2,3,2,35,3,1
4,11,4,0,7228,1,3,2,39,3,1
1,36,2,1,8335,5,5,4,47,3,0
1,21,2,3,3357,4,2,3,29,1,1
4,24,2,0,1249,1,2,1,28,3,1
2,15,4,9,2326,3,3,3,27,1,1
1,24,2,2,2996,5,3,3,20,3,0
4,6,2,2,1543,4,3,1,33,3,1
1,12,2,0,1228,1,3,1,24,3,0
1,24,4,1,6419,1,5,4,44,3,1
3,24,2,2,2892,1,5,4,51,3,1
3,24,2,2,1925,1,3,1,26,3,1
3,42,0,9,6289,1,2,2,33,3,1
1,24,2,0,1285,5,4,4,32,3,0
2,60,1,10,14782,2,5,4,60,1,0
4,6,2,3,1346,2,5,4,42,1,1
4,6,2,2,1766,1,3,2,21,3,1
1,24,2,1,2812,5,5,1,26,3,1
4,24,4,10,6314,1,1,4,27,1,1
1,21,4,0,1602,1,5,3,30,3,1
2,48,0,9,12204,5,3,3,48,1,1
4,24,4,2,3777,4,3,1,40,3,1
2,12,2,9,841,2,4,1,23,3,1
4,9,2,6,3832,5,5,1,64,3,1
1,27,2,3,3416,1,3,3,27,3,1
1,6,2,2,428,1,5,2,49,1,1
4,12,4,0,926,1,1,2,38,3,1
3,24,4,3,3148,5,3,3,31,3,1
1,24,2,2,3021,1,3,1,24,3,1
1,12,1,3,2149,1,3,4,29,3,0
2,12,2,2,2762,5,5,2,25,3,0
4,12,4,6,2096,1,4,1,49,3,1
4,6,1,0,783,5,3,1,26,2,1
4,36,3,0,10875,1,5,3,45,3,1
2,21,4,9,3652,1,4,2,27,3,1
1,36,2,1,5493,1,5,4,42,3,1
3,30,4,3,3017,1,5,2,47,3,1
4,11,4,0,1393,1,2,3,35,3,1
1,24,2,9,6568,1,3,3,21,2,1
1,47,2,0,10722,1,2,1,35,3,1
2,24,2,3,2896,2,2,3,29,3,1
4,15,4,2,2788,1,4,3,24,1,1
4,12,4,2,1402,3,4,3,37,3,1
4,10,2,8,894,5,4,2,40,3,1
4,24,2,1,3488,2,4,3,23,3,1
4,24,4,6,1597,1,5,4,54,3,1
3,12,2,3,3399,5,5,3,37,3,1
3,36,2,3,3919,1,3,1,23,3,1
4,12,4,3,618,1,5,1,56,3,1
3,18,2,2,2864,1,3,1,34,3,0
4,24,2,0,1474,2,2,1,33,3,1
4,12,4,0,1163,3,3,1,44,3,1
4,24,2,0,1393,1,3,1,31,3,1
1,9,4,5,1288,2,5,1,48,3,1
4,36,4,0,6614,1,5,3,34,3,1
1,60,2,9,7297,1,5,4,36,3,0
4,24,4,1,2197,5,4,3,43,3,1
1,40,4,6,5998,1,3,4,27,1,0
4,60,2,0,6527,5,3,4,34,3,1
3,18,1,3,1445,5,4,3,49,1,1
4,10,2,0,1309,5,3,2,27,3,0
4,15,2,1,1300,5,5,4,45,1,1
4,24,2,9,1258,1,4,1,25,3,1
4,18,4,2,1817,1,3,4,28,3,1
3,15,2,9,2687,1,4,2,26,3,1
2,12,4,0,958,1,4,1,47,3,1
2,18,3,5,6204,1,3,1,44,3,1
4,12,2,2,763,1,3,1,26,3,1
4,9,4,6,1244,5,5,2,41,3,1
1,30,2,3,2522,1,5,2,39,3,1
4,15,2,3,1213,3,5,2,47,2,1
2,18,4,2,3612,1,5,2,37,3,1
2,36,3,0,2862,2,5,4,30,3,1
1,6,2,0,662,1,2,1,41,3,1
2,12,4,4,1424,1,4,2,26,3,1
2,48,3,10,7582,2,1,4,31,3,1
1,12,2,6,795,1,2,2,53,3,0
2,9,1,0,1437,2,4,4,29,3,0
4,18,2,0,2662,5,4,2,32,3,1
2,20,3,1,7057,5,4,2,36,1,1
4,30,4,3,6742,5,4,2,36,3,1
4,48,3,3,12749,3,4,3,37,3,1
1,12,2,6,1200,5,3,2,23,1,1
1,6,4,0,666,4,4,1,39,3,1
1,21,2,3,2606,1,2,2,28,3,1
4,6,2,3,518,1,3,1,29,3,1
4,12,2,0,1101,1,3,1,27,3,1
1,21,3,6,3414,1,2,2,26,2,0
1,12,2,3,1107,1,3,1,20,3,1
1,24,3,0,4870,1,3,4,53,3,0
2,12,2,0,6078,1,4,3,32,3,1
2,36,1,4,3990,5,2,4,29,1,1
2,48,0,9,14421,1,3,3,25,2,0
4,12,2,1,2445,5,2,3,26,3,1
2,36,3,9,4455,1,3,1,30,2,0
4,12,4,0,1495,1,5,1,38,3,1
4,18,4,1,3850,1,4,3,27,3,1
4,24,2,3,1901,2,3,3,29,3,1
1,15,2,4,1275,5,3,3,24,3,0
2,26,2,1,7966,1,2,3,30,3,1
1,24,2,2,7721,5,2,2,30,3,1
1,12,4,3,385,1,4,1,58,3,1
3,36,2,3,4473,1,5,3,31,3,1
4,12,4,3,2331,5,5,1,49,3,1
1,24,1,9,3161,1,3,2,31,1,0
1,48,2,0,7763,1,5,4,42,1,0
4,24,3,0,717,5,5,3,54,3,1
3,12,2,2,2251,1,3,3,46,3,1
4,15,4,6,1532,2,3,3,31,3,1
4,21,2,2,2241,1,5,1,50,3,1
1,12,2,3,709,1,5,1,57,3,0
2,18,2,3,1113,1,3,1,26,3,1
4,7,4,3,730,5,5,2,46,3,1
2,36,2,2,9034,2,2,4,29,3,0
3,12,1,3,409,4,3,1,42,3,1
4,12,4,2,3331,1,5,2,42,2,1
1,24,2,3,1603,1,5,3,55,3,1
1,48,4,1,6143,1,5,4,58,2,0
4,24,3,0,2538,1,5,3,47,3,0
3,12,2,2,1424,5,5,1,55,3,1
3,4,2,0,1494,5,2,1,29,3,1
4,36,4,2,7127,1,2,2,23,3,0
1,42,2,3,7174,5,4,3,30,3,0
2,24,2,2,4351,5,3,2,48,3,1
1,6,4,0,1361,1,2,1,40,3,1
1,36,4,2,5371,1,3,2,28,3,1
2,42,4,9,5954,1,4,1,41,1,1
2,24,2,3,1967,1,5,3,20,3,1
4,24,2,3,3181,1,2,2,26,3,1
4,30,2,1,4811,5,4,2,24,2,1
4,12,4,0,682,2,4,3,51,3,1
4,15,4,2,1520,5,5,2,63,3,1
4,18,2,3,1505,1,3,4,32,3,1
4,18,4,3,1800,1,3,3,24,3,1
1,24,2,1,6579,1,1,4,29,3,1
2,24,1,6,1837,1,4,4,34,1,0
1,36,4,2,6229,1,2,4,23,3,0
2,36,2,3,2671,2,3,4,50,3,0
2,12,3,3,585,1,3,1,20,3,1
2,9,2,3,1206,1,5,1,25,3,1
1,24,3,0,1333,1,1,1,43,3,0
4,30,4,1,7596,5,5,3,63,3,1
2,60,2,0,14027,1,4,4,27,3,0
3,12,2,3,1297,1,3,1,23,3,1
2,18,4,2,1295,1,2,2,27,3,1
2,27,4,3,2520,3,3,2,23,3,0
2,8,2,9,907,1,2,1,26,3,1
2,18,2,0,1042,5,3,2,33,3,0
1,18,2,3,3190,1,3,1,24,3,0
2,24,2,0,1246,1,2,1,23,1,0
4,12,3,1,1503,1,3,1,41,3,1
4,36,3,1,8947,5,4,3,31,2,1
4,24,2,1,2679,1,2,4,29,3,1
2,24,3,9,4712,5,3,2,34,1,1
4,33,4,1,7253,1,4,3,35,3,1
1,15,2,3,1053,1,2,1,27,3,1
4,28,1,1,7824,5,2,1,40,1,1
2,7,2,3,2576,1,3,1,35,3,1
1,33,4,2,4281,3,3,3,23,3,0
4,36,4,1,11054,5,3,3,30,3,1
3,12,4,0,1480,3,1,4,66,1,1
1,6,4,0,3676,1,3,1,37,3,1
1,14,2,3,1277,4,2,3,24,3,0
1,12,2,0,1294,1,2,2,25,2,0
1,48,1,2,7049,1,3,2,42,3,0
2,16,2,2,3517,1,4,2,36,3,0
1,11,3,2,3461,1,3,1,39,3,0
1,36,3,1,9553,1,3,3,25,3,0
1,9,3,5,1131,3,4,3,31,3,0
1,23,1,2,3092,1,2,2,22,3,0
1,12,2,0,757,1,3,1,26,3,0
1,21,1,3,1563,1,3,3,23,1,0
2,9,2,3,1641,1,2,3,30,3,0
1,36,2,0,9282,1,3,3,24,3,0
1,32,2,2,9082,1,3,3,24,2,0
1,12,2,1,762,1,3,1,44,3,0
2,11,2,3,759,2,3,1,53,3,0
3,21,4,0,2782,1,3,2,30,1,0
1,36,3,0,2799,1,2,3,28,2,0
1,35,0,2,3793,1,3,2,41,3,0
1,16,3,2,3460,1,2,1,27,2,0
2,23,3,8,12101,1,2,3,38,3,0
1,26,1,0,2723,1,3,2,22,2,0
2,21,2,0,2741,1,3,2,24,2,0
2,12,3,0,927,3,3,1,26,3,0
1,12,2,2,676,1,4,2,22,3,0
1,12,2,2,676,1,4,2,21,3,0
1,23,2,2,2358,1,1,1,32,3,0
1,21,2,2,2349,1,1,1,30,3,0
1,45,2,3,3031,1,3,2,22,3,0
2,36,2,3,3055,2,2,2,21,3,0
1,14,2,1,961,1,2,3,25,1,0
3,29,2,7,7950,3,2,3,33,3,0
2,11,1,2,1472,4,3,1,26,3,0
2,11,1,2,1475,4,3,1,25,3,0
1,20,1,0,1648,4,2,2,38,1,0
1,19,1,0,1606,3,3,2,41,1,0
1,32,3,6,2119,1,3,2,27,3,0
1,23,3,2,2067,1,1,1,33,3,0
2,28,2,8,1909,1,4,1,63,3,0
1,24,1,2,3110,1,2,2,28,3,0
1,25,1,0,2149,1,3,4,25,1,0
1,36,1,2,2742,1,5,2,31,1,0
1,31,1,2,2748,1,5,2,29,1,0
3,18,1,0,6450,1,5,3,38,1,0
1,49,2,4,6310,2,3,3,38,3,0
1,43,3,4,5975,1,3,2,24,1,0
2,26,1,5,4243,1,2,1,33,3,0
2,11,3,5,1505,2,4,2,45,2,0
1,19,1,3,1533,1,4,3,26,1,0
1,11,2,0,758,1,3,1,26,3,0
2,17,2,0,952,1,3,3,34,1,0
1,19,2,2,2462,1,1,2,24,3,0
1,19,2,2,2464,1,1,2,24,3,0
1,21,1,0,1200,1,1,3,26,3,0
3,18,2,2,1810,1,4,1,23,2,0
3,18,2,2,1810,1,3,1,22,3,0
1,16,2,2,1128,1,1,3,31,3,0
1,24,1,8,3160,1,2,2,30,1,0
1,41,0,7,11771,1,4,3,27,3,0
1,19,3,0,2233,1,3,2,32,1,0
1,18,0,0,2267,1,2,2,29,2,0
2,26,2,8,11259,1,2,3,28,1,0
2,40,2,1,10739,1,2,3,30,3,0
1,20,2,2,1191,1,1,4,42,3,0
2,40,2,3,7795,1,3,1,29,2,0
1,47,1,8,7693,1,3,2,36,2,0
1,6,1,5,1198,1,4,3,34,3,0
1,46,2,0,7773,1,4,3,40,1,0
1,30,2,4,6877,1,2,2,30,2,0
1,24,0,8,4241,1,3,1,35,3,0
3,12,2,4,1554,3,4,3,52,2,0
1,17,1,3,1539,1,2,1,23,2,0
1,48,3,3,6281,1,5,4,47,3,0
1,18,2,0,4751,1,3,2,31,3,0
3,46,2,6,4806,1,1,2,29,2,0
3,8,2,2,4618,1,2,2,31,2,0
2,34,2,2,2668,2,3,3,48,3,0
1,17,2,2,2604,1,3,3,60,3,0
1,24,2,0,1340,1,1,1,36,3,0
1,24,2,0,1337,1,1,1,39,3,0
1,37,2,3,1841,1,3,3,23,3,0
2,42,1,3,6360,1,3,4,40,2,0
3,21,1,1,6452,1,5,4,41,1,0
1,23,2,1,1203,1,2,2,26,3,0
3,11,2,5,723,1,4,2,38,1,0
1,36,3,3,8072,1,3,3,31,2,0
3,32,1,4,4201,1,3,3,27,2,0
1,24,1,2,4075,1,4,3,36,2,0
1,48,2,0,10261,1,3,4,40,3,0
2,12,2,0,901,1,4,2,37,1,0
1,46,2,0,3938,1,3,3,43,3,0
2,20,1,0,6802,3,2,2,63,1,0
1,23,4,0,1198,1,4,3,59,3,0
1,14,1,3,2130,1,3,2,32,3,0
2,15,1,3,2116,1,3,2,34,3,0
2,24,2,4,11480,1,3,3,25,2,0
2,8,1,7,500,2,2,1,24,1,0
1,42,1,0,7674,2,3,3,45,1,0
3,40,1,0,7458,3,1,1,43,1,0
1,24,2,0,4830,1,3,2,36,3,0
2,35,2,4,4830,1,2,2,31,3,0
1,23,2,3,2346,1,1,2,33,3,0
3,18,3,4,2321,1,2,2,30,3,0
1,17,2,5,748,1,1,1,27,3,0
1,35,2,3,2301,1,2,3,31,2,0
1,29,2,4,2309,1,2,3,31,3,0
2,12,2,2,1332,1,2,2,22,3,0
3,10,0,1,1359,1,2,2,30,3,0
1,27,3,0,5079,1,1,3,38,3,0
1,35,2,0,3946,1,4,2,40,2,0
1,35,2,0,3945,1,4,2,40,2,0
2,13,2,1,2765,3,4,2,26,2,0
3,20,4,0,2780,1,3,2,30,1,0
1,25,2,0,7574,3,5,2,48,2,0
1,35,1,5,7612,2,4,2,42,3,0
1,16,1,0,6852,1,1,2,36,1,0
1,33,0,4,6237,1,3,2,34,3,0
2,57,2,6,6272,1,3,4,43,3,0
3,23,1,6,1946,1,2,1,35,3,0
1,36,1,6,1970,3,5,4,45,3,0
2,11,2,2,1325,1,2,2,23,3,0
2,11,2,1,1322,2,2,2,23,3,0
2,15,3,1,1212,1,1,3,42,1,0
2,40,2,4,1831,1,3,4,30,2,0
2,23,0,2,1793,1,2,2,30,2,0
2,15,0,0,1786,1,2,1,24,3,0
3,10,2,2,1975,1,2,2,20,3,0
3,9,2,2,1977,1,2,2,19,3,0
3,47,2,8,4857,1,1,2,32,3,0
1,25,2,0,4872,1,4,2,30,3,0
2,28,3,8,12177,1,3,3,41,3,0
1,48,1,8,6412,1,5,4,58,3,0
1,51,1,6,7595,1,3,2,32,3,0
1,51,2,1,7295,3,2,2,26,3,0
2,19,2,3,4718,1,3,2,35,3,0
1,9,1,3,1363,1,2,2,22,3,0
1,45,1,2,6768,1,2,2,33,2,0
1,37,2,2,3088,1,2,1,29,3,0
2,23,3,5,1919,1,3,1,46,3,0
2,27,3,7,1912,1,4,1,58,3,0
2,15,2,4,1513,3,2,2,60,2,0
1,18,1,2,1548,1,2,2,43,1,0
1,18,3,2,2129,1,3,1,24,3,0
1,29,2,0,2148,1,3,3,24,1,0
2,9,3,5,1501,1,4,2,33,3,0
2,9,3,5,1501,1,4,2,33,3,0
1,42,2,3,3962,1,2,2,34,2,0
3,46,2,7,3927,3,2,1,36,1,0
1,21,2,0,900,3,5,3,32,1,0
1,13,2,0,895,3,3,3,26,3,0
3,18,2,4,1942,1,2,1,23,3,0
1,15,2,0,904,5,3,3,24,2,0
1,13,2,0,902,5,3,3,23,2,0
1,22,1,2,2992,4,2,2,20,3,0
1,22,1,2,2991,4,2,2,20,3,0
2,17,2,2,2013,1,2,2,20,3,0
2,24,2,2,2044,1,1,2,24,3,0
2,15,3,0,1082,1,4,1,29,3,0
1,18,2,1,1122,1,1,2,32,3,0
2,43,1,0,6545,1,4,2,26,2,0
1,48,2,1,6661,1,3,2,27,3,0
1,19,2,2,2585,1,3,3,60,3,0
1,16,2,1,2618,1,3,3,43,3,0
1,17,1,2,1547,1,3,2,46,1,0
3,17,2,2,1530,1,2,2,45,2,0
3,26,2,9,4558,3,3,1,48,2,0
1,23,3,3,1216,1,2,3,38,1,0
3,26,3,6,8541,1,2,2,35,1,0
3,15,4,7,2301,1,1,3,38,2,0
2,16,1,2,2282,1,1,3,32,2,0
2,18,3,5,2147,1,3,2,26,3,0
2,27,2,2,2402,1,4,1,27,2,0
3,25,2,2,2399,2,4,2,31,1,0
2,31,2,0,2238,1,4,3,49,1,0
2,28,3,2,2247,1,3,3,52,1,0
1,40,2,3,3075,1,2,2,44,3,0
1,47,2,3,3045,1,3,2,45,3,0
1,12,2,0,1277,1,2,1,30,1,0
1,13,2,2,1274,3,2,2,29,2,0
1,32,2,2,2316,1,2,2,31,3,0
2,17,2,2,2334,1,1,1,26,3,0
1,16,3,0,1060,1,4,1,33,2,0
1,16,1,0,1052,3,3,2,36,2,0
1,21,2,3,1831,1,2,1,26,2,0
2,13,2,0,847,1,2,2,26,1,0
2,14,2,0,855,1,3,2,28,1,0
2,21,2,2,2428,2,4,3,28,1,0
3,23,2,3,2391,2,4,2,34,1,0
2,12,2,4,723,1,3,3,36,2,0
2,12,2,4,722,1,3,3,37,1,0
2,11,2,0,1240,1,4,3,45,3,0
2,8,2,2,1237,1,3,1,24,3,0
1,12,2,0,1225,1,3,1,33,3,0
4,44,3,2,9947,2,2,3,38,3,0
2,69,2,3,5610,2,2,3,24,3,0
2,33,3,0,5261,1,1,3,27,3,0
2,22,2,0,1245,1,2,1,23,1,0
2,12,2,1,1239,1,2,1,23,2,0
3,13,2,2,1982,1,2,2,19,3,0
1,24,2,3,1983,1,3,1,21,3,0
3,9,0,2,1332,1,2,2,32,3,0
2,12,0,2,1336,1,1,2,35,3,0
1,48,2,1,10059,1,2,3,29,1,0
3,36,2,2,10973,1,1,3,26,2,0
3,39,2,2,10970,1,1,3,26,2,0
1,48,0,5,3877,1,4,4,38,3,0
2,32,1,9,3896,1,3,3,35,3,0
1,12,1,3,700,1,4,1,54,2,0
1,12,3,0,687,1,4,1,34,2,0
2,48,1,8,6408,1,4,4,58,3,0
3,28,2,6,8800,1,2,3,27,1,0
1,13,2,1,1282,1,3,3,21,3,0
1,30,2,2,4026,1,3,3,39,3,0
1,31,2,5,1977,4,4,3,36,3,0
1,36,0,7,1961,2,5,4,53,3,0
3,29,1,5,4192,1,3,3,29,2,0
1,11,0,5,1114,1,4,1,28,3,0
1,12,0,3,1101,1,3,1,33,2,0
1,10,3,2,3314,1,3,1,36,3,0
1,9,3,3,3391,1,2,1,39,2,0
1,21,2,2,2449,1,2,1,29,3,0
1,24,2,2,2437,1,2,1,34,3,0
1,12,1,4,621,1,2,1,24,1,0
1,12,2,1,652,1,3,1,28,1,0
3,18,2,3,1935,2,2,1,24,3,0
1,36,3,4,8070,1,3,3,29,2,0
3,18,3,6,1860,1,3,1,30,2,0
3,18,3,5,1861,1,3,1,29,3,0
2,27,3,2,2522,2,3,1,22,3,0
2,23,2,1,2582,1,3,2,39,3,0
2,12,2,3,707,1,5,2,38,1,0
1,12,2,2,675,1,4,2,21,3,0
2,28,2,9,3914,1,3,2,36,2,0
2,24,3,8,12017,1,3,3,39,3,0
2,26,3,9,2158,1,3,3,26,3,0
1,16,2,0,973,1,2,3,23,2,0
1,15,2,0,965,1,2,3,24,2,0
1,6,1,6,436,3,2,2,23,1,0
1,37,2,0,3969,1,3,3,45,3,0
1,27,2,8,3916,1,3,3,36,3,0
2,10,2,0,1235,1,4,2,38,3,0
1,20,1,3,1548,1,4,3,31,1,0
2,14,2,3,1554,2,4,3,50,2,0
1,18,2,2,2471,1,1,3,24,3,0
2,18,2,3,1932,3,2,1,25,3,0
3,18,2,4,1941,1,2,1,23,3,0
2,48,1,9,15639,1,3,3,24,2,0
1,8,1,5,1199,1,4,3,33,3,0
1,6,1,5,1198,1,4,3,35,3,0
1,17,1,0,1446,1,4,3,32,1,0
3,13,1,0,1403,2,3,2,27,2,0
1,41,2,4,6939,1,3,1,31,2,0
2,34,1,4,4227,1,3,3,26,3,0
1,12,1,2,1535,1,2,1,24,2,0
1,21,1,2,1548,1,3,3,32,1,0
2,27,2,2,12588,1,4,4,44,3,0
1,36,2,2,9344,1,3,3,24,3,0
2,19,2,0,948,1,3,3,33,1,0
2,38,2,1,9533,1,2,3,27,2,0
2,36,2,2,9433,1,2,3,28,3,0
3,41,2,6,4850,1,1,3,38,3,0
1,40,0,6,15656,1,2,4,60,2,0
1,24,2,2,3098,1,2,2,23,3,0
3,20,3,0,2767,1,4,2,32,1,0
1,26,2,0,2716,1,3,2,25,2,0
3,46,2,8,3916,4,3,1,37,1,0
1,27,1,6,5277,1,1,2,44,3,0
1,26,0,8,5283,1,1,2,50,3,0
2,21,4,5,1931,1,3,1,31,3,0
2,29,2,9,1943,1,5,2,45,3,0
1,19,1,2,3216,1,2,1,25,3,0
1,20,1,1,3395,2,2,3,29,3,0
2,33,2,4,12624,2,3,4,43,3,0
3,12,3,8,2291,1,1,3,41,2,0
1,18,0,0,2274,1,2,2,28,2,0
2,28,1,7,3891,1,3,3,37,3,0
2,30,1,6,3869,1,3,3,38,3,0
1,29,1,2,6262,1,3,2,36,3,0
2,24,2,4,11718,1,3,3,29,3,0
1,42,3,1,6099,1,4,3,54,2,0
2,12,0,3,1113,1,3,1,28,3,0
1,12,1,2,706,1,4,1,54,2,0
1,12,1,2,676,1,3,2,22,2,0
1,21,2,0,1210,1,2,2,23,3,0
2,12,2,3,766,2,3,1,65,3,0
1,13,2,4,797,1,3,2,46,3,0
1,15,2,0,962,1,2,2,24,3,0
2,14,1,3,540,1,2,1,23,1,0
1,24,2,2,3004,4,2,3,20,3,0
1,41,2,2,3042,2,3,1,25,3,0
1,18,2,0,1237,1,2,1,23,1,0
1,14,2,1,1235,1,3,1,28,3,0
1,15,2,3,1275,5,3,3,24,3,0
1,21,2,1,1282,5,3,3,29,3,0
1,15,2,2,2135,1,3,2,26,3,0
1,16,3,2,2131,1,3,1,25,3,0
2,31,3,0,2808,1,2,2,26,3,0
2,23,2,1,2788,3,3,2,25,3,0
2,12,2,2,2778,4,4,1,26,3,0
2,13,0,2,2944,1,2,1,27,3,0
1,60,2,8,7304,1,4,3,35,3,0
1,58,1,8,7305,1,4,3,36,2,0
1,44,3,6,6138,1,4,4,41,2,0
3,10,2,0,1304,3,2,2,26,3,0
3,9,1,0,1314,4,2,2,28,3,0
1,12,2,2,774,1,3,1,37,3,0
1,12,2,3,809,1,2,2,42,2,0
1,13,1,0,1439,1,4,4,30,1,0
2,9,2,2,1466,1,4,3,31,3,0
1,19,2,4,3283,1,2,1,24,2,0
1,19,2,4,3324,1,2,1,25,2,0
3,40,2,6,4851,1,1,3,39,3,0
2,32,2,8,4485,1,3,1,31,2,0
3,15,2,4,4563,1,2,1,31,2,0
1,13,2,3,1277,3,3,3,22,3,0
1,24,1,1,3127,1,2,2,27,2,0
1,24,1,4,3141,1,2,2,28,2,0
1,12,2,1,7862,1,5,4,52,2,0
2,12,2,4,715,1,5,2,47,1,0
1,12,2,3,711,1,5,1,53,2,0
3,26,2,7,8716,1,2,3,27,1,0
2,36,2,1,9159,1,2,3,28,3,0
1,48,3,2,6171,1,5,4,55,2,0
1,48,3,1,6145,1,5,4,57,2,0
2,25,3,1,2528,2,3,2,33,3,0
2,25,3,1,2528,2,3,2,34,3,0
2,40,2,2,7124,1,2,2,33,3,0
1,58,2,8,7283,1,4,3,35,3,0
2,23,1,6,1840,1,3,3,33,1,0
1,28,2,2,6219,1,2,3,24,3,0
2,29,2,2,2658,2,3,3,42,3,0
2,34,2,2,2675,1,3,3,47,3,0
1,18,2,1,1332,1,1,1,32,3,0
2,13,0,2,1335,1,1,2,36,3,0
1,32,2,0,14471,1,4,4,47,1,0
1,25,3,2,2510,2,3,2,22,3,0
1,23,3,2,2502,2,2,2,23,3,0
2,18,2,0,1042,4,3,1,32,3,0
1,18,2,0,984,1,2,2,24,3,0
1,18,2,3,3181,1,2,1,23,3,0
1,25,2,2,3141,1,2,1,28,3,0
2,18,3,2,1245,1,2,2,32,2,0
2,34,2,2,4242,1,3,3,24,3,0
